cleaned_comment,vader_pos,vader_neu,vader_neg,compound_score,ground_truth_label
hi kak  klo mo dftr ahli pertama jaksa  bisa pke behel,0.0,1.0,0.0,0.0,netral
kak bisa gak lulusan kejaksaan tapi kerja di bagian jampidmil bukan pidsus  pidum,0.0,1.0,0.0,0.0,netral
kak toefl prediction bisa di gunakan daftar cpns kakk,0.0,1.0,0.0,0.0,netral
semoga beberapa tahun lagi aku bisa nyusul,0.351,0.649,0.0,0.4019,positif
kk dinas dmn skrg  itu kalo udh keterima bisa ambil di ptk ga si,0.212,0.788,0.0,0.4995,positif
smk bisa kah,0.0,1.0,0.0,0.0,netral
bismillah semoga tahun ini lulus aaminn,0.0,1.0,0.0,0.0,netral
toefl dimana ka,0.0,1.0,0.0,0.0,netral
kak mau nanya untuk lulusan htn  hes atau hki yg gelarnya sarjana hukum apakah bisa jadi jaksa   karena bnyk sekali simpang siur informasi saya jdi bingung   pdhl gelarnya kn s h harusnya bisa kak,0.032,0.858,0.11,-0.4902,netral
gua kemaren sudah diterima dikejaksaan tapi ada tugas lebih penting menjadi petugas pemadam kebakaran karena itu cita cita saya menolong orang dari musibah,0.0,1.0,0.0,0.0,netral
kak bisa ga si kalau daftar lulusan sma,0.0,1.0,0.0,0.0,netral
ada minimal tb gak kak,0.0,1.0,0.0,0.0,netral
gmna sih kak cara nya percaya dengn kemampuan diri smdri kek insec dengn diri sndri apakah mampu gituu,0.214,0.786,0.0,0.5994,positif
ka mau tanya fotonya klau pake jas boleh ga yaa,0.115,0.885,0.0,0.0772,positif
kak kalau persyaratan rumah sakit harus ad bmi nya dan kmrin aku buat surat rumah skit cman ad tinggi dan berat badan aja gak ada bmi nya gimana yah kak mna aku udah submit lg,0.0,0.901,0.099,-0.296,netral
kak kalo lulusan s  tapi daftar di formasi lulusan sma bisa,0.0,1.0,0.0,0.0,netral
kak bahanya semiwool  merk apa,0.0,1.0,0.0,0.0,netral
semoga seragamnya nular ke aku tahun ini ya kakkkkk,0.206,0.567,0.227,-0.0772,netral
kak aku tb nya       menurut kakak giamna aku lnjut daftar jaksa atau gimana,0.0,1.0,0.0,0.0,netral
tunggu aku jadi junior mu mbakkkk,0.0,1.0,0.0,0.0,netral
hi kakak cantikk mau nanyanih  kalau yg non hijab wajib pendek rambut ya,0.269,0.57,0.161,0.2732,positif
kak mau tanyakk surat belum menikah sama surat belum pernah menikah beda  soalnya aku dah buat surat belum menikah dan d situ d jelasin bahwa aku mmng blm pernh menikah,0.044,0.956,0.0,0.0772,positif
tahun ini ada cpns jadi jaksa ga kak,0.0,1.0,0.0,0.0,netral
kerennn bgtttt sist,0.0,1.0,0.0,0.0,netral
say boleh nanya  dak,0.0,1.0,0.0,0.0,netral
menyalaaaa beb kuhhh,0.0,1.0,0.0,0.0,netral
congraatss kak teaakkk,0.0,1.0,0.0,0.0,netral
semoga tahun ini di lancar kan yok bisa semangat yok,0.346,0.654,0.0,0.6486,positif
salam     ka see u di badiklat,0.412,0.588,0.0,0.4215,positif
manifesting aku lulus pns kementan        amin tuhan yesus,0.0,1.0,0.0,0.0,netral
kak  semoga nular ya,0.0,1.0,0.0,0.0,netral
ya allah bisa ndak ya,0.0,1.0,0.0,0.0,netral
cantek ehh kaka jaksa ni  seruuu,0.0,1.0,0.0,0.0,netral
allah selalu bersama orang yang benar  sehat selalu pak jaksa agung,0.2,0.8,0.0,0.4576,positif
sita seluruh sriwijaya air,0.0,1.0,0.0,0.0,netral
kok gak dipukuli kayak malengya,0.247,0.53,0.223,0.0572,positif
hukumanya apa ya       serius nanya,0.0,0.794,0.206,-0.0772,netral
menunggu vonis semoga bisa di hukum seumur hidup atau di pindahkan ke alam lain para pelaku koruptor,0.212,0.788,0.0,0.5106,positif
tionghoa  hama,0.0,1.0,0.0,0.0,negatif
yaman ni,0.0,1.0,0.0,0.0,negatif
prabowo presiden terbaik sepanjang masa,0.412,0.588,0.0,0.6369,positif
"mau dibawa ke mana pak harta y  kan kita akan kembali ke sang maha pencipta
harta yg kita punya tidak akan kita bawa juga kan  jika tujuan y buat ank cucu  biarkan mereka bekerja keras",0.113,0.841,0.045,0.2732,positif
apa betul betul nanti nya di hukum,0.0,1.0,0.0,0.0,netral
bersihkan samapi akar akar ini semua korupsi jangan biarkan mereka hidup,0.172,0.828,0.0,0.4019,positif
bangka belitung itu banyak polisi rotasi  soalnya kalo ngendap lama disana  tajir melintir  tau sama tau  ade gw pernah buka tambang kecil disana  yg kaya mah pengepul,0.0,1.0,0.0,0.0,netral
di adili ngga ya,0.0,1.0,0.0,0.0,netral
kenapa bisa terjadi seperti ini,0.385,0.615,0.0,0.3612,positif
tinggal bayarnya berapa    tinggal nego sama polisi  jaksa  hakim    tidur di rmh atau hukuman seumur hidup tapi dipotong tiap tahun  tidurnya di rumah,0.046,0.8,0.154,-0.4019,negatif
pak jokowi dan pak prabowo   hebat,0.406,0.594,0.0,0.6249,positif
ya robb  lindungi keluarga pak prabowo  dari perbuatan jahat jin   manusia  jgn lepaskn pak prabowo dari penjagaan mu sekejap mata pun ya robb  kami rakyat di jolimi berharap di dengar presiden kami yg amanah ya robb,0.313,0.601,0.085,0.8672,positif
mas bowo keren  hajar semua para koruptor kelas kakap  satu per satu nonggol    mantab mas wowo,0.126,0.874,0.0,0.3182,positif
itu kasus timah plus bea cukai dah jadi tu ikn  segitu kayanya indonesia kalo g dikorup,0.224,0.776,0.0,0.6825,positif
miskinkan lalu eksekusi pindah alam,0.0,1.0,0.0,0.0,netral
wooohh     m,0.0,1.0,0.0,0.0,netral
apakah benar mau di hukum,0.166,0.521,0.313,-0.3415,negatif
pantesan   thn belakang rakyat jd susah ekonomi naik harga sandang pangan naik korupsi merajalela  di tangan pak prabowo satu persatu tertangkap,0.0,0.876,0.124,-0.6077,netral
pindah kan ke alam lain penjara udah penuh lagian di penjara dia makan enak fasilitas mewah,0.166,0.538,0.296,-0.4404,negatif
prabowo bersih bersih,0.844,0.156,0.0,0.6597,positif
terbaik presiden prabowo,0.677,0.323,0.0,0.6369,positif
untung gak pernah ngerasain pake sriwijaya air,0.398,0.602,0.0,0.5106,positif
mantap pk prabowo,0.0,1.0,0.0,0.0,netral
kalau terbukti uang dan aset nya disita untuk negara dan door,0.108,0.892,0.0,0.1779,positif
semua pesawat sriwijaya air  pindah tangan ke  biar dikelola bumn  ayo  kamu bs bersihkan para koruptor  bersihkan hendry lie grup dkk nya,0.184,0.816,0.0,0.6597,positif
memang luar biasa pak prabowo,0.559,0.441,0.0,0.5859,positif
mantap pak presiden prabowo  dan mas gibran      t  terungkap   uang nya kembali kan lg ke rakyat,0.24,0.76,0.0,0.6249,positif
hukum t mb k,0.0,1.0,0.0,0.0,netral
"prabowo keren g sampai setahun mnjabat udh mnangkap mafia berdasi   
harun masiku tdk nyenyak tidurnya krn kawannannya satu persatu dr jongos banteng yg korupsi ktangkep",0.148,0.852,0.0,0.6597,positif
"t   wooooow         buat mulangin utang  indonesia dulu aja lah 
   guna ngurangi bunga hutang  
   atau modal usaha       seperti properti  dan jalan tol    murah
   tol di sumatra",0.1,0.733,0.167,-0.25,negatif
mntul ktngkep,0.0,1.0,0.0,0.0,netral
bner mantap presiden prabowo,0.577,0.423,0.0,0.6249,positif
"tolong pak prabowo buatkan sel tahanan husus koruptor 
kasih cctv dan tayangin d setiap alun  kota",0.333,0.667,0.0,0.7579,positif
walah satu persatu ketangkap manttul pak,0.0,1.0,0.0,0.0,positif
yg aneh meneger pt timah atau menteri bumn nya gk ter espos  klau dia sama suami sandra dewi cuma jdi vendor subcon  gk mungkin vendor klau gk di setujui menejer bsa jln,0.0,0.886,0.114,-0.4822,negatif
ya allah lindungi pak prabowo beri dia umur panjang agar negara ini bebas korup agar rakyat makmur sejahtrah amin,0.204,0.796,0.0,0.7096,positif
mantap bang prabowo semoga sehat selalu,0.76,0.24,0.0,0.8591,positif
terkait juga petinggi kementrian bumn dan pt timah yang ikut terlibat korupsi,0.0,1.0,0.0,0.0,netral
presidentku menyala,0.0,1.0,0.0,0.0,netral
baru kali ini yg berani presiden menangkap bos pesat   sriwijaya air   yg lain pake daster aja,0.0,1.0,0.0,0.0,netral
luar biasa,1.0,0.0,0.0,0.5574,positif
thun penjara ini,0.0,0.377,0.623,-0.5106,negatif
duit banyak banget,0.0,1.0,0.0,0.0,netral
kejaksaan agung lebih tinggi ya dari dpr,0.0,1.0,0.0,0.0,netral
dan anehnya gaada peringatan darurat  ditambah lagi ketua dpr dipilih lgsg oleh ibunya dan gada yg bilang dinasti,0.0,0.719,0.281,-0.8126,negatif
pencarian gue  suami inul daratista kejaksaan agung,0.0,1.0,0.0,0.0,netral
gini ya rasanya punya presiden latar belakang militer  sat set sat set tanpa ada angin,0.263,0.737,0.0,0.6124,positif
emang luar biasa mbak inul gak salah pilih mas adam,0.514,0.486,0.0,0.7472,positif
yg bisa lengserin ketua dpr itu lembaga apa si   serius tanya,0.0,0.898,0.102,-0.1779,negatif
aku suka gaya pak burhanuddin dan kumis nya,0.238,0.762,0.0,0.3612,positif
fungsinya mulyono    tahun apa,0.0,1.0,0.0,0.0,netral
dpr sarangnya masak iya setuju,0.385,0.615,0.0,0.3612,positif
"kalo wakil rakyat gk mau ngesahin  langsung tanya ke rakyatnya aja pak
biar kita yang ngesahin",0.0,0.925,0.075,-0.0572,negatif
"dekengan pak burhanuddin itu pak prabowo langsung   warga      
jadi ga perlu takut",0.0,0.807,0.193,-0.4341,negatif
knp sih org org dibawah naungan pak prabowo adu prestasi btul jd keren kan liatnya merinding  gimna gt nah,0.139,0.861,0.0,0.3774,positif
sebutin fungsi keuntungan dpr untuk rakyat kecil,0.225,0.775,0.0,0.4404,positif
terus gunanya dpr apa coba,0.0,1.0,0.0,0.0,netral
dpr lama  wajar lihatlah ketuanya dari partai mana,0.197,0.803,0.0,0.4019,positif
perampasan aset   hukuman mati   perfec sdh sayang ga mungkin trjdi,0.067,0.464,0.469,-0.8316,negatif
para menteri sedang berlomba lomba untuk menunjukkan bakat prestasi dan kerja keras    semangat,0.298,0.628,0.073,0.6486,positif
andai kpk sekuat jaman sby,0.268,0.732,0.0,0.5106,positif
bayangin misal si abah menang kemaren  pasti banyak banget yang happy,0.402,0.598,0.0,0.8126,positif
"jaksa agung   kelamaan ah  gas aja langsung  bekingan saya pak presiden kok 
menyala bapak",0.106,0.894,0.0,0.2263,positif
"tanya serius  ketua dpr siapa sih    
tidak sat set gitu se",0.0,0.743,0.257,-0.4234,negatif
pasti inul daratista bangga,0.659,0.341,0.0,0.7003,positif
kek jaman suharto ya di senengin rakyat dulu    tapi nanti pasti ada sswatu hal besar yg bakalan terjadi,0.089,0.911,0.0,0.2144,positif
kl jaksa agung bisa knp ga dr kmren  aj ya,0.0,1.0,0.0,0.0,netral
alhamdulillah progam unggulan pak anis akhirnya di pakai oleh pemerintahan bapak prabowo,0.097,0.903,0.0,0.1027,positif
ini era garuda bung bukan era banteng,0.0,1.0,0.0,0.0,netral
real kah  kok media ga ada liputan,0.0,0.761,0.239,-0.296,netral
kejagung  lama banget nungguinya  udah langsung aja,0.147,0.853,0.0,0.2263,positif
fungsi dpr,0.0,1.0,0.0,0.0,netral
"bukan perkara berlomba unjuk prestasi  tapi memang harus ada ketegasan dan kejujuran dalam memimpin negara ini 
jadi  ayo kita dukung apa yg dilakukan pemimpin kita selagi untuk kemakmuran bersama",0.241,0.729,0.03,0.8493,positif
